geometry,lon,lat
POINT (22.34058834700015 -15.133256789999542),22.34058834700015,-15.133256789999542
POINT (22.34058834700015 -15.123256789999541),22.34058834700015,-15.123256789999541
POINT (22.34058834700015 -15.113256789999543),22.34058834700015,-15.113256789999543
POINT (22.34058834700015 -15.103256789999541),22.34058834700015,-15.103256789999541
POINT (22.34058834700015 -15.093256789999538),22.34058834700015,-15.093256789999538
POINT (22.34058834700015 -15.083256789999535),22.34058834700015,-15.083256789999535
POINT (22.34058834700015 -15.073256789999538),22.34058834700015,-15.073256789999538
POINT (22.350588347000155 -15.173256789999552),22.350588347000155,-15.173256789999552
POINT (22.350588347000155 -15.163256789999549),22.350588347000155,-15.163256789999549
POINT (22.350588347000155 -15.15325678999955),22.350588347000155,-15.15325678999955
POINT (22.350588347000155 -15.143256789999548),22.350588347000155,-15.143256789999548
POINT (22.350588347000155 -15.133256789999542),22.350588347000155,-15.133256789999542
POINT (22.350588347000155 -15.123256789999541),22.350588347000155,-15.123256789999541
POINT (22.350588347000155 -15.113256789999543),22.350588347000155,-15.113256789999543
POINT (22.350588347000155 -15.103256789999541),22.350588347000155,-15.103256789999541
POINT (22.350588347000155 -15.093256789999538),22.350588347000155,-15.093256789999538
POINT (22.360588347000153 -15.183256789999552),22.360588347000153,-15.183256789999552
POINT (22.360588347000153 -15.173256789999552),22.360588347000153,-15.173256789999552
POINT (22.360588347000153 -15.163256789999549),22.360588347000153,-15.163256789999549
POINT (22.360588347000153 -15.15325678999955),22.360588347000153,-15.15325678999955
POINT (22.360588347000153 -15.143256789999548),22.360588347000153,-15.143256789999548
POINT (22.360588347000153 -15.133256789999542),22.360588347000153,-15.133256789999542
POINT (22.360588347000153 -15.123256789999541),22.360588347000153,-15.123256789999541
POINT (22.360588347000153 -15.113256789999543),22.360588347000153,-15.113256789999543
POINT (22.360588347000153 -15.103256789999541),22.360588347000153,-15.103256789999541
POINT (22.37058834700016 -15.183256789999552),22.37058834700016,-15.183256789999552
POINT (22.37058834700016 -15.173256789999552),22.37058834700016,-15.173256789999552
POINT (22.37058834700016 -15.163256789999549),22.37058834700016,-15.163256789999549
POINT (22.37058834700016 -15.15325678999955),22.37058834700016,-15.15325678999955
POINT (22.37058834700016 -15.143256789999548),22.37058834700016,-15.143256789999548
POINT (22.37058834700016 -15.133256789999542),22.37058834700016,-15.133256789999542
POINT (22.37058834700016 -15.123256789999541),22.37058834700016,-15.123256789999541
POINT (22.37058834700016 -15.113256789999543),22.37058834700016,-15.113256789999543
POINT (22.37058834700016 -15.103256789999541),22.37058834700016,-15.103256789999541
POINT (22.380588347000156 -15.173256789999552),22.380588347000156,-15.173256789999552
POINT (22.380588347000156 -15.163256789999549),22.380588347000156,-15.163256789999549
POINT (22.380588347000156 -15.15325678999955),22.380588347000156,-15.15325678999955
POINT (22.380588347000156 -15.143256789999548),22.380588347000156,-15.143256789999548
POINT (22.380588347000156 -15.133256789999542),22.380588347000156,-15.133256789999542
POINT (22.380588347000156 -15.123256789999541),22.380588347000156,-15.123256789999541
POINT (22.380588347000156 -15.113256789999543),22.380588347000156,-15.113256789999543
POINT (22.380588347000156 -15.103256789999541),22.380588347000156,-15.103256789999541
POINT (22.39058834700016 -15.173256789999552),22.39058834700016,-15.173256789999552
POINT (22.39058834700016 -15.163256789999549),22.39058834700016,-15.163256789999549
POINT (22.39058834700016 -15.15325678999955),22.39058834700016,-15.15325678999955
POINT (22.39058834700016 -15.143256789999548),22.39058834700016,-15.143256789999548
POINT (22.39058834700016 -15.133256789999542),22.39058834700016,-15.133256789999542
POINT (22.39058834700016 -15.123256789999541),22.39058834700016,-15.123256789999541
POINT (22.40058834700016 -15.163256789999549),22.40058834700016,-15.163256789999549
POINT (22.40058834700016 -15.15325678999955),22.40058834700016,-15.15325678999955
